,name,description,symptoms,treatments
151,chagas disease,"Chagas disease is a parasitic infection caused by the protozoan Trypanosoma cruzi. It is primarily found in Latin America, where it is transmitted to humans through the bite of infected triatomine bugs.","['Fever', 'Fatigue', 'Body aches', 'Swollen lymph nodes', 'Headache', 'Enlarged liver or spleen', 'Heart palpitations']","['Antiparasitic medication', 'Symptomatic treatment']"
152,chickenpox,Chickenpox is a highly contagious viral infection that causes an itchy rash and blisters. It is primarily spread through direct contact with an infected person or through airborne transmission.,"['Fever', 'Fatigue', 'Loss of appetite', 'Headache', 'Itchy rash', 'Blisters', 'Body aches']","['Antiviral medication', 'Symptomatic treatment']"
153,chlamydia,A common sexually transmitted infection caused by the bacterium Chlamydia trachomatis.,"['Painful urination', 'Abnormal vaginal discharge', 'Pain during sex']","['Antibiotics', 'Pain relievers', 'Abstaining from sexual activity']"
154,cholera,An acute diarrheal illness caused by the bacterium Vibrio cholerae.,"['Profuse watery diarrhea', 'Vomiting', 'Dehydration']","['Rehydration therapy', 'Antibiotics', 'Zinc supplements']"
155,coccidioidomycosis,A fungal infection caused by inhaling spores of the Coccidioides fungus.,"['Cough', 'Fever', 'Chest pain']","['Antifungal medications', 'Rest', 'Pain relievers']"
156,common cold,A viral infection of the upper respiratory tract.,"['Runny nose', 'Sore throat', 'Cough']","['Rest', 'Fluids', 'Over-the-counter medications for symptom relief']"
157,creutzfeldt-jakob disease,"A rare and fatal brain disorder caused by prions, abnormal proteins that damage brain cells.","['Rapidly progressive dementia', 'Muscle stiffness', 'Difficulty with coordination and movement']",['There is no cure or treatment that can slow the progression of the disease']
158,cryptococcosis,"Cryptococcosis is a fungal infection caused by Cryptococcus neoformans or Cryptococcus gattii. It can affect the lungs, brain, and other parts of the body.","['Fever', 'Headache', 'Nausea and vomiting', 'Stiff neck', 'Sensitivity to light', 'Confusion', 'Shortness of breath']","['Antifungal medications', 'Amphotericin B', 'Flucytosine', 'Fluconazole']"
159,cryptosporidiosis,"Cryptosporidiosis is a parasitic infection caused by the Cryptosporidium parasite. It can cause diarrhea, stomach cramps, nausea, and vomiting.","['Diarrhea', 'Stomach cramps', 'Nausea', 'Vomiting', 'Fever', 'Dehydration']","['Antiparasitic medications', 'Nitazoxanide', 'Azithromycin', 'Rehydration therapy']"
160,cytomegalovirus infection,"Cytomegalovirus (CMV) is a common virus that can infect people of all ages. Most people with CMV have no symptoms, but it can cause serious problems in people with weakened immune systems.","['Fever', 'Fatigue', 'Sore throat', 'Swollen glands', 'Muscle aches', 'Loss of appetite', 'Jaundice', 'Pneumonia', 'Encephalitis']","['Antiviral medications', 'Ganciclovir', 'Valganciclovir', 'Foscarnet']"
161,dengue fever,"Dengue fever is a viral infection transmitted by mosquitoes. It can cause a high fever, severe headache, joint and muscle pain, and a rash.","['High fever', 'Severe headache', 'Joint and muscle pain', 'Nausea and vomiting', 'Rash', 'Pain behind the eyes', 'Fatigue']","['Pain relievers', 'Fluid replacement therapy', 'Rest', 'Preventing dehydration']"
162,diphtheria,Diphtheria is a bacterial infection that can cause severe respiratory and cardiac problems. It is spread through contact with an infected person or object.,"['Sore throat', 'Fever', 'Swollen glands in the neck', 'Weakness and fatigue', 'Difficulty breathing', 'Nasal discharge', 'Formation of a thick grayish coating in the throat and nose']","['Antibiotics', 'Diphtheria antitoxin', 'Supportive care']"
163,ebola virus disease,Ebola virus disease (EVD) is a rare but severe illness caused by the Ebola virus.,"['Fever', 'Headache', 'Muscle pain', 'Fatigue', 'Diarrhea', 'Vomiting', 'Abdominal pain', 'Unexplained hemorrhage']","['Supportive care', 'Experimental treatments']"
164,ehrlichiosis,Ehrlichiosis is a bacterial illness transmitted by ticks that causes flu-like symptoms.,"['Fever', 'Headache', 'Muscle aches', 'Fatigue', 'Nausea', 'Vomiting', 'Diarrhea', 'Cough', 'Joint pain', 'Confusion']","['Doxycycline', 'Other antibiotics']"
165,e. coli infection,E. coli infection is a type of foodborne illness caused by consuming food or water contaminated with the bacteria E. coli.,"['Abdominal pain', 'Diarrhea', 'Nausea', 'Vomiting', 'Fatigue', 'Fever', 'Bloody stool']","['Supportive care', 'Fluid replacement']"
166,encephalitis,"Encephalitis is inflammation of the brain, usually caused by a viral infection.","['Fever', 'Headache', 'Stiff neck', 'Confusion', 'Seizures', 'Muscle weakness', 'Personality changes', 'Loss of consciousness']","['Antiviral medications', 'Steroids', 'Supportive care']"
167,enterovirus infection,Enterovirus infection is a viral illness that can cause a range of symptoms from mild to severe.,"['Fever', 'Headache', 'Muscle aches', 'Fatigue', 'Rash', 'Sore throat', 'Runny nose', 'Cough', 'Diarrhea', 'Vomiting', 'Meningitis', 'Encephalitis']","['Supportive care', 'Antiviral medications', 'Pain and fever relief']"
168,erysipelas,"Erysipelas is a bacterial skin infection that usually affects the legs, but can also occur on the face, arms and other parts of the body. It is caused by group A streptococcus bacteria and is characterized by redness, warmth, and swelling of the affected area.","['Redness, warmth, and swelling of the skin', 'Fever', 'Chills', 'Fatigue', 'Pain and tenderness in the affected area', 'Blisters and sores may develop']","['Antibiotics, such as penicillin or erythromycin', 'Pain relievers, such as acetaminophen or ibuprofen', 'Elevating the affected limb to reduce swelling', 'Resting and staying hydrated']"
169,escherichia coli o157:h7 infection,"Escherichia coli O157:H7 is a strain of E. coli bacteria that can cause severe foodborne illness. It is typically spread through contaminated food or water and can lead to symptoms such as abdominal pain, diarrhea, and dehydration. In severe cases, it can cause kidney failure and other complications.","['Abdominal pain and cramping', 'Diarrhea, often bloody', 'Nausea and vomiting', 'Dehydration', 'Fever', 'Fatigue']","['Drinking plenty of fluids to prevent dehydration', 'Antibiotics are not recommended for treating E. coli O157:H7 infection as they can increase the risk of kidney damage', 'In severe cases, hospitalization may be necessary']"
170,filariasis,"Filariasis is a parasitic infection that is transmitted by mosquitoes. It can lead to a variety of symptoms, including fever, lymphedema, and elephantiasis. The infection is common in many tropical and subtropical regions of the world.","['Swelling of the limbs, genitalia, or breasts', 'Fever', 'Chills', 'Muscle and joint pain', 'Fatigue', 'Skin rash', 'Lymphedema']","['Antiparasitic medication, such as diethylcarbamazine', 'Symptomatic treatment, such as pain relievers or antibiotics to treat secondary infections', 'Preventive measures, such as mosquito control measures and the use of bed nets']"
171,giardiasis,Giardiasis is a diarrheal illness caused by the microscopic parasite Giardia.,"['diarrhea', 'abdominal cramps', 'bloating', 'nausea', 'fatigue', 'loss of appetite', 'weight loss']","['Antibiotics', 'Anti-diarrheal medications', 'Rehydration therapy']"
172,gonorrhea,Gonorrhea is a sexually transmitted infection caused by the bacterium Neisseria gonorrhoeae.,"['painful urination', 'abnormal discharge', 'painful intercourse', 'lower abdominal pain', 'fever']","['Antibiotics', 'Pain relief medication', 'Rest', 'Safe sex practices']"
173,group a streptococcal infection,Group A streptococcal infection is a bacterial infection caused by group A streptococcus.,"['fever', 'sore throat', 'swollen lymph nodes', 'nausea', 'vomiting', 'abdominal pain', 'rash']","['Antibiotics', 'Pain relief medication', 'Rest']"
174,haemophilus influenzae infection,Haemophilus influenzae infection is a bacterial infection caused by Haemophilus influenzae.,"['fever', 'headache', 'stiff neck', 'fatigue', 'ear pain', 'difficulty breathing']","['Antibiotics', 'Pain relief medication', 'Rest']"
175,hantavirus pulmonary syndrome,Hantavirus pulmonary syndrome is a rare but serious respiratory disease caused by hantavirus.,"['fever', 'muscle aches', 'fatigue', 'shortness of breath', 'cough', 'headaches', 'abdominal pain']","['Hospitalization', 'Oxygen therapy', 'Fluid replacement therapy']"
176,helminthiasis,Helminthiasis is a parasitic disease caused by helminths.,"['abdominal pain', 'diarrhea', 'nausea', 'vomiting', 'fever', 'fatigue', 'weight loss']","['Antiparasitic medications', 'Surgery (in some cases)']"
177,hepatitis a,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus.,"['Fatigue', 'Nausea and vomiting', 'Abdominal pain', 'Loss of appetite', 'Dark urine', 'Joint pain', 'Jaundice']","['Rest', 'Adequate nutrition', 'Fluids', 'Vaccination']"
178,hepatitis b,Hepatitis B is a viral infection that attacks the liver and can cause both acute and chronic disease.,"['Fever', 'Fatigue', 'Loss of appetite', 'Nausea', 'Vomiting', 'Abdominal pain', 'Joint pain', 'Jaundice']","['Antiviral medication', 'Rest', 'Adequate nutrition', 'Fluids', 'Vaccination']"
179,hepatitis c,"Hepatitis C is a viral infection that causes liver inflammation, sometimes leading to serious liver damage.","['Fever', 'Fatigue', 'Joint pain', 'Muscle pain', 'Loss of appetite', 'Nausea', 'Vomiting', 'Abdominal pain', 'Dark urine', 'Jaundice']","['Antiviral medication', 'Rest', 'Adequate nutrition', 'Fluids']"
180,herpes zoster,"Herpes zoster, also known as shingles, is a viral infection that causes a painful rash.","['Pain, burning, or tingling on one side of the body', 'A rash that appears as a band or stripe on one side of the body', 'Blisters that break open and crust over', 'Itching', 'Fever', 'Headache', 'Sensitivity to light']","['Antiviral medication', 'Pain relievers', 'Topical creams or gels', 'Cool, wet compresses', 'Rest']"
181,histoplasmosis,Histoplasmosis is a fungal infection caused by inhaling spores of the fungus Histoplasma capsulatum. It can cause flu-like symptoms and can be severe in people with weakened immune systems.,"['Fever', 'Cough', 'Chest pain', 'Fatigue', 'Body aches']","['Antifungal medications', 'Oxygen therapy', 'Intravenous fluids']"
182,hookworm infection,Hookworm infection is caused by parasitic worms that live in the intestines. It is commonly found in areas with poor sanitation and can lead to anemia and malnutrition.,"['Itching and a rash at the site of infection', 'Abdominal pain', 'Diarrhea', 'Fatigue', 'Loss of appetite']","['Anthelmintic medications', 'Iron supplements', 'Intravenous fluids']"
183,human papillomavirus infection,"Human papillomavirus (HPV) is a viral infection that can cause genital warts and increase the risk of developing certain cancers, including cervical cancer.","['Genital warts', 'Abnormal Pap test results', 'No symptoms in many cases']","['Medications to treat warts', 'Surgery to remove abnormal tissue', 'Vaccines to prevent infection']"
184,impetigo,Impetigo is a highly contagious bacterial skin infection that causes sores and blisters. It is common in children and can spread easily through contact with the infected person.,"['Red sores that quickly turn into blisters', 'Fluid-filled blisters that burst and develop honey-colored crusts', 'Itching']","['Antibiotic ointments or creams', 'Oral antibiotics', 'Keeping the affected area clean and covered']"
186,japanese encephalitis,Japanese encephalitis is a viral infection that is transmitted by mosquitoes and can cause inflammation of the brain.,"['Fever', 'Headache', 'Vomiting', 'Seizures', 'Stiff neck', 'Muscle weakness', 'Confusion']","['Supportive care', 'Antiviral medication', 'Preventive vaccination']"
187,kawasaki disease,Kawasaki disease is an illness that primarily affects children and can cause inflammation in the blood vessels throughout the body.,"['Fever', 'Red eyes', 'Rash', 'Swollen lymph nodes', 'Swollen hands and feet', 'Strawberry tongue']","['Intravenous immunoglobulin (IVIG)', 'Aspirin', 'Corticosteroids']"
188,legionellosis,Legionellosis is a type of pneumonia caused by the Legionella bacteria.,"['Cough', 'Fever', 'Shortness of breath', 'Muscle aches', 'Headache', 'Nausea and vomiting']","['Antibiotics', 'Supportive care']"
189,leishmaniasis,Leishmaniasis is a parasitic disease that is transmitted by the bite of infected sand flies.,"['Skin sores', 'Fever', 'Weight loss', 'Enlarged spleen and liver']","['Antiparasitic medication', 'Wound care']"
190,leprosy,"Leprosy is a chronic bacterial infection that can damage the skin, nerves, and other organs.","['Skin lesions', 'Numbness or lack of sensation', 'Muscle weakness', 'Eye problems', 'Nosebleeds']","['Multidrug therapy', 'Surgery for deformities', 'Rehabilitation']"
191,leptospirosis,"Leptospirosis is an infection caused by bacteria of the Leptospira genus. It can cause a wide range of symptoms, from mild flu-like symptoms to severe disease involving multiple organs.","['Fever', 'Headache', 'Muscle aches', 'Vomiting', 'Jaundice', 'Red eyes', 'Abdominal pain', 'Diarrhea', 'Rash', 'Chills']","['Antibiotics', 'Supportive care']"
192,listeriosis,"Listeriosis is a serious infection caused by eating food contaminated with the bacterium Listeria monocytogenes. It can cause a variety of symptoms, from mild flu-like symptoms to severe disease involving the brain and other organs.","['Fever', 'Muscle aches', 'Nausea', 'Diarrhea', 'Headache', 'Stiff neck', 'Confusion', 'Loss of balance', 'Convulsions']","['Antibiotics', 'Supportive care']"
193,lyme disease,"Lyme disease is an infection caused by the bacterium Borrelia burgdorferi. It is transmitted to humans through the bite of infected blacklegged ticks. The symptoms of Lyme disease can vary widely, from mild flu-like symptoms to severe disease involving the heart, joints, and nervous system.","['Fever', 'Headache', 'Fatigue', 'Muscle aches', 'Joint pain', 'Swollen lymph nodes', ""Bull's-eye rash""]","['Antibiotics', 'Pain relievers']"
194,malaria,"Malaria is a life-threatening disease caused by parasites that are transmitted to people through the bites of infected female Anopheles mosquitoes. It can cause fever, chills, and flu-like symptoms, and can be a serious health risk if not treated promptly.","['Fever', 'Chills', 'Headache', 'Sweats', 'Fatigue', 'Nausea and vomiting', 'Muscle pain', 'Joint pain', 'Anemia', 'Convulsions']","['Antimalarial medications', 'Supportive care']"
195,measles,"Measles is a highly contagious viral disease that can be serious or even fatal. It is spread through the air by coughing or sneezing. The symptoms of measles include fever, cough, runny nose, and a rash all over the body.","['Fever', 'Cough', 'Runny nose', 'Red, watery eyes', 'Rash', 'Small white spots with bluish-white centers inside the mouth', 'Body aches']","['Symptom relief', 'Supportive care']"
196,meningococcal disease,Meningococcal disease is a bacterial infection that can cause meningitis and sepsis. It is caused by the bacterium Neisseria meningitidis and is spread through respiratory and throat secretions.,"['Fever', 'Headache', 'Stiff neck', 'Nausea and vomiting', 'Sensitivity to light', 'Confusion', 'Rash']","['Antibiotics', 'Intravenous fluids', 'Oxygen therapy', 'Supportive care']"
197,methicillin-resistant staphylococcus aureus (mrsa) infection,"MRSA is a type of staph infection that is resistant to many antibiotics. It can cause skin infections, pneumonia, and other infections. MRSA is spread through contact with contaminated surfaces or through skin-to-skin contact.","['Redness and swelling of the skin', 'Painful skin lesions', 'Fever', 'Chills', 'Chest pain', 'Shortness of breath']","['Antibiotics', 'Draining of abscesses', 'Supportive care']"
198,molluscum contagiosum,"Molluscum contagiosum is a viral infection that causes small, raised, pearl-like bumps on the skin. It is spread through skin-to-skin contact and contact with contaminated objects.","['Small, raised bumps on the skin', 'White, waxy cores in the bumps', 'Itching']","['Topical medications', 'Cryotherapy', 'Curettage', 'Laser therapy']"
199,monkeypox,"Monkeypox is a rare viral disease that is similar to smallpox. It is spread through contact with infected animals or humans. Monkeypox can cause fever, rash, and pustules on the skin.","['Fever', 'Headache', 'Muscle aches', 'Backache', 'Swollen lymph nodes', 'Chills', 'Exhaustion', 'Rash']","['Supportive care', 'Antiviral medications']"
200,mumps,"Mumps is a viral infection that causes swelling of the salivary glands. It is spread through respiratory droplets and contact with contaminated surfaces. Mumps can also cause inflammation of the testicles, ovaries, and brain.","['Swelling of the salivary glands', 'Fever', 'Headache', 'Muscle aches', 'Fatigue', 'Loss of appetite', 'Painful testicles or breasts', 'Stiff neck', 'Difficulty swallowing']","['Supportive care', 'Pain relievers', 'Ice packs', 'Fluids']"
201,mycobacterium avium complex infection,"Mycobacterium avium complex (MAC) infection is a type of bacterial infection that commonly affects people with weakened immune systems, such as those with HIV/AIDS.","['Fever', 'Fatigue', 'Weight loss', 'Night sweats', 'Diarrhea', 'Abdominal pain', 'Persistent cough', 'Shortness of breath']","['Antibiotics', 'Antimicrobial therapy', 'Immune system therapy']"
202,mycoplasma pneumonia,Mycoplasma pneumonia is a type of bacterial pneumonia that affects the respiratory system.,"['Fever', 'Cough', 'Sore throat', 'Headache', 'Fatigue', 'Muscle aches', 'Shortness of breath']","['Antibiotics', 'Anti-inflammatory medications', 'Rest and fluids']"
203,necrotizing fasciitis,"Necrotizing fasciitis is a rare but serious bacterial infection that affects the soft tissue under the skin, including muscle and fat.","['Intense pain', 'Swelling', 'Redness', 'Fever', 'Nausea and vomiting', 'Fatigue', 'Ulcers or blisters', 'Blackened or dead skin']","['Antibiotics', 'Surgery to remove infected tissue', 'Supportive care']"
204,neonatal tetanus,Neonatal tetanus is a type of tetanus that affects newborn babies. It is caused by exposure to the bacteria that produce tetanus toxin.,"['Stiffness and spasms in the muscles', 'Irritability', 'Difficulty feeding', 'Difficulty breathing', 'Fever', 'Sweating', 'High blood pressure', 'Rapid heart rate']","['Antibiotics', 'Tetanus immunoglobulin', 'Supportive care']"
205,norovirus infection,Norovirus infection is a type of viral infection that affects the stomach and intestines. It is highly contagious and can spread easily in crowded places.,"['Nausea', 'Vomiting', 'Diarrhea', 'Stomach cramps', 'Fever', 'Headache', 'Body aches']","['Rest and fluids', 'Anti-nausea medication', 'Rehydration therapy']"
206,onchocerciasis,"Onchocerciasis, also known as river blindness, is a parasitic disease caused by the worm Onchocerca volvulus. It is transmitted to humans through the bites of blackflies.","['Skin rash', 'Itching', 'Eye lesions', 'Visual impairment']","['Ivermectin', 'Doxycycline', 'Surgery (for advanced cases)']"
207,ophthalmia neonatorum,"Ophthalmia neonatorum is a form of conjunctivitis that occurs in newborn babies. It is usually caused by an infection acquired during delivery from the mother, who may have a sexually transmitted infection.","['Eye redness', 'Swelling of the eyelids', 'Discharge from the eyes']","['Antibiotic eye drops or ointment', 'Preventive measures (e.g. screening and treating pregnant women for STIs)']"
208,osteomyelitis,Osteomyelitis is a bone infection that can occur in any bone in the body. It is usually caused by bacteria that enter the bone through a wound or during surgery.,"['Pain and tenderness in the affected area', 'Swelling', 'Fever', 'Fatigue']","['Antibiotics (oral or intravenous)', 'Surgery (for severe cases or to remove dead tissue)']"
209,paratyphoid fever,Paratyphoid fever is a bacterial infection caused by Salmonella Paratyphi bacteria. It is usually contracted by consuming contaminated food or water.,"['Fever', 'Abdominal pain', 'Diarrhea', 'Nausea and vomiting']","['Antibiotics', 'Fluid and electrolyte replacement', 'Rest and adequate nutrition']"
210,pertussis,"Pertussis, also known as whooping cough, is a highly contagious respiratory infection caused by the bacterium Bordetella pertussis. It can affect people of all ages, but is most dangerous for infants.","['Cough (often severe and persistent)', 'Whooping sound during coughing fits', 'Vomiting', 'Fatigue']","['Antibiotics (to prevent the spread of the infection)', 'Supportive care (e.g. fluids, rest, and nutrition)', 'Vaccination (to prevent infection)']"
211,pneumococcal disease,"Pneumococcal disease is an infection caused by Streptococcus pneumoniae bacteria. It can lead to pneumonia, meningitis, and other infections.","['Fever', 'Cough', 'Chest pain', 'Shortness of breath', 'Stiff neck', 'Headache']","['Antibiotics', 'Vaccination']"
212,poliomyelitis,"Poliomyelitis, also known as polio, is a highly contagious viral infection that can lead to paralysis, breathing problems, and even death.","['Fever', 'Headache', 'Nausea', 'Vomiting', 'Stiffness in the neck', 'Muscle weakness or paralysis']","['Supportive care', 'Vaccination']"
213,q fever,"Q fever is a bacterial infection caused by Coxiella burnetii. It can cause fever, headaches, muscle aches, and pneumonia.","['Fever', 'Headache', 'Muscle aches', 'Chills', 'Sweats', 'Cough', 'Chest pain']","['Antibiotics', 'Supportive care']"
214,rabies,"Rabies is a deadly viral infection that is transmitted to humans through the bite of an infected animal, such as a dog or bat.","['Fever', 'Headache', 'Muscle weakness', 'Seizures', 'Excessive salivation', 'Paralysis']","['Post-exposure prophylaxis', 'Vaccination']"
215,respiratory syncytial virus infection,"Respiratory syncytial virus (RSV) infection is a common respiratory infection that can cause serious illness, particularly in young children and older adults.","['Runny or stuffy nose', 'Cough', 'Fever', 'Wheezing', 'Difficulty breathing']","['Supportive care', 'Antiviral medication']"
216,rheumatic fever,"Rheumatic fever is a complication of untreated strep throat. It can cause inflammation of the heart, joints, and other organs.","['Fever', 'Joint pain and swelling', 'Chest pain', 'Shortness of breath']","['Antibiotics', 'Anti-inflammatory medication', 'Bed rest']"
217,rift valley fever,Rift Valley fever is a viral disease that affects both humans and animals. It is most commonly found in sub-Saharan Africa.,"['Fever', 'Headache', 'Muscle pain', 'Fatigue']","['Symptomatic treatment', 'Fluid and electrolyte replacement', 'Supportive care']"
218,rocky mountain spotted fever,Rocky Mountain spotted fever is a bacterial infection that is spread by ticks. It is most commonly found in North and South America.,"['Fever', 'Headache', 'Muscle pain', 'Rash']","['Antibiotics', 'Symptomatic treatment', 'Supportive care']"
219,rotavirus infection,Rotavirus infection is a common cause of diarrhea in infants and young children. It can lead to dehydration and other complications.,"['Diarrhea', 'Vomiting', 'Fever', 'Abdominal pain']","['Rehydration therapy', 'Symptomatic treatment', 'Prevention through vaccination']"
220,rubella,"Rubella, also known as German measles, is a viral infection that can cause rash, fever, and swollen lymph nodes.","['Rash', 'Fever', 'Headache', 'Swollen lymph nodes']","['Symptomatic treatment', 'Prevention through vaccination']"
221,salmonellosis,"Salmonellosis is a bacterial infection that can cause diarrhea, fever, and abdominal cramps. Most people recover without treatment, but in some cases, it can lead to more severe illness.","['Nausea', 'Vomiting', 'Abdominal cramps', 'Fever', 'Diarrhea', 'Headache']","['Drinking fluids to prevent dehydration', 'Antibiotics (in severe cases)']"
222,sars (severe acute respiratory syndrome),"SARS is a serious respiratory illness caused by the SARS coronavirus. It first appeared in Asia in 2003 and spread to several other countries. SARS can cause severe breathing problems, fever, and other symptoms.","['Fever', 'Chills', 'Dry cough', 'Shortness of breath', 'Muscle aches', 'Headache', 'Sore throat', 'Malaise']","['Antiviral medications (in some cases)', 'Corticosteroids (to reduce inflammation)', 'Oxygen therapy']"
223,scabies,Scabies is a contagious skin condition caused by tiny mites that burrow into the skin. It causes intense itching and a rash.,"['Intense itching (especially at night)', 'Rash (usually on the hands, feet, or genitals)', 'Small, raised bumps on the skin']","['Prescription medications to kill the mites', 'Topical creams or lotions']"
224,scarlet fever,"Scarlet fever is a bacterial infection that can cause a bright red rash, fever, sore throat, and other symptoms. It is most common in children between the ages of 5 and 15.","['Fever', 'Sore throat', 'Bright red rash (usually on the chest, stomach, and limbs)', 'Reddening of the tongue (known as ""strawberry tongue"")', 'Headache', 'Nausea', 'Vomiting']","['Antibiotics', 'Over-the-counter pain relievers (to reduce fever and discomfort)']"
225,shigellosis,"Shigellosis is an infection caused by the Shigella bacteria. It can cause diarrhea, fever, and stomach cramps. In severe cases, it can lead to dehydration and other complications.","['Diarrhea (which may be bloody)', 'Fever', 'Stomach cramps', 'Nausea', 'Vomiting']","['Drinking fluids to prevent dehydration', 'Antibiotics (in severe cases)']"
226,smallpox,Smallpox is a contagious disease caused by the variola virus. It is characterized by a fever and a distinctive rash.,"['Fever', 'Fatigue', 'Headache', 'Backache', 'Rash']","['Vaccination', 'Antiviral drugs', 'Symptomatic relief']"
227,staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome is a rare skin condition caused by the bacteria Staphylococcus aureus. It is characterized by redness and blistering of the skin.,"['Fever', 'Redness of the skin', 'Blisters on the skin', 'Skin peeling']","['Antibiotics', 'Pain relief medication', 'Intravenous fluids']"
228,strep throat,"Strep throat is a bacterial infection that affects the throat and tonsils. It is characterized by a sore throat, fever, and swollen lymph nodes.","['Sore throat', 'Fever', 'Swollen lymph nodes', 'Difficulty swallowing']","['Antibiotics', 'Pain relief medication', 'Rest and fluids']"
229,syphilis,Syphilis is a sexually transmitted infection caused by the bacteria Treponema pallidum. It is characterized by a sore or ulcer at the site of infection and a rash that can appear on the palms of the hands and soles of the feet.,"['Painless sore or ulcer', 'Rash on the palms of the hands and soles of the feet', 'Fever', 'Fatigue']","['Antibiotics', 'Penicillin injections', 'Regular testing']"
230,tetanus,"Tetanus is a bacterial infection that affects the nervous system. It is characterized by muscle stiffness and spasms, particularly in the jaw muscles.","['Muscle stiffness and spasms', 'Jaw cramping', 'Fever', 'Sweating']","['Antitoxin medication', 'Muscle relaxants', 'Pain relief medication']"
231,toxoplasmosis,"Toxoplasmosis is a parasitic infection caused by the Toxoplasma gondii parasite. It is usually transmitted through contact with contaminated cat feces, eating undercooked meat, or vertical transmission from mother to fetus during pregnancy.","['Flu-like symptoms (such as fever, fatigue, body aches)', 'Swollen lymph nodes', 'Muscle aches and pains', 'Headache', 'Sore throat', 'Skin rash', 'Inflammation of the lungs, heart, or eyes (in severe cases)']","['Antibiotics (such as sulfadiazine, pyrimethamine, and clindamycin)', 'Corticosteroids (to reduce inflammation in severe cases)', 'Symptomatic treatment (such as pain relievers, fever reducers, and rest)']"
232,trachoma,"Trachoma is a bacterial infection of the eyes caused by the Chlamydia trachomatis bacterium. It is usually transmitted through contact with contaminated hands, clothing, or flies.","['Irritation and redness of the eyes', 'Swelling of the eyelids', 'Discharge from the eyes', 'Sensitivity to light', 'Blurred vision', 'Formation of small bumps on the inner surface of the eyelids (in severe cases)']","['Antibiotics (such as azithromycin and tetracycline)', 'Surgery (in severe cases)', 'Facial cleanliness and environmental improvements (to prevent transmission)']"
233,tuberculosis,"Tuberculosis (TB) is a bacterial infection caused by the Mycobacterium tuberculosis bacterium. It usually affects the lungs, but can also affect other parts of the body.","['Coughing (with or without blood)', 'Chest pain', 'Fatigue', 'Fever', 'Night sweats', 'Loss of appetite', 'Weight loss', 'Shortness of breath (in severe cases)']","['Antibiotics (such as isoniazid, rifampin, and ethambutol)', 'Directly Observed Therapy (DOT) to ensure compliance with medication', 'Surgery (in severe cases)', 'Vaccination (in some cases)']"
234,tularemia,Tularemia is a rare infectious disease caused by the bacterium Francisella tularensis.,"['Fever', 'Chills', 'Headache', 'Muscle aches', 'Joint pain', 'Dry cough', 'Progressive weakness']","['Antibiotics', 'Supportive care']"
235,typhoid fever,Typhoid fever is a bacterial infection caused by Salmonella typhi.,"['Fever', 'Headache', 'Abdominal pain', 'Loss of appetite', 'Fatigue', 'Diarrhea or constipation', 'Rash']","['Antibiotics', 'Supportive care']"
236,typhus,Typhus is a group of infectious diseases caused by bacteria called Rickettsia.,"['Fever', 'Headache', 'Muscle pain', 'Nausea and vomiting', 'Rash', 'Cough']","['Antibiotics', 'Supportive care']"
237,urinary tract infection (uti),"Urinary tract infection (UTI) is an infection in any part of the urinary system, including the kidneys, bladder, and urethra.","['Burning sensation during urination', 'Frequent urge to urinate', 'Passing small amounts of urine', 'Cloudy urine', 'Strong-smelling urine', 'Pelvic pain']","['Antibiotics', 'Pain relievers']"
238,varicella (chickenpox),"Varicella, commonly known as chickenpox, is a highly contagious disease caused by the varicella-zoster virus.","['Fever', 'Headache', 'Tiredness', 'Rash', 'Itching']","['Antiviral medications', 'Calamine lotion', 'Acetaminophen (Tylenol) for fever and discomfort']"
239,vibrio infection,Vibrio infection is a bacterial infection caused by the Vibrio bacterium.,"['Diarrhea', 'Abdominal pain', 'Nausea and vomiting', 'Fever', 'Chills', 'Low blood pressure']","['Antibiotics', 'Supportive care']"
240,west nile virus infection,"West Nile virus (WNV) is a viral infection that typically spreads through the bite of an infected mosquito. Most people with WNV do not experience any symptoms. However, about 1 in 5 people who are infected will develop a fever along with other symptoms.","['Fever', 'Headache', 'Body aches', 'Fatigue', 'Back pain', 'Skin rash', 'Swollen lymph nodes']","['There is no specific treatment for WNV infection', 'Over-the-counter pain relievers can help reduce fever and relieve some symptoms', 'In severe cases, hospitalization may be necessary for supportive care, such as intravenous fluids, pain management, and nursing care']"
241,adenoiditis,"Adenoiditis is an inflammation of the adenoids, which are small pads of tissue located in the back of the throat.","['Difficulty breathing through the nose', 'Snoring', 'Mouth breathing']","['Antibiotics', 'Nasal decongestants', 'Surgery to remove the adenoids']"
242,anal fissure,"An anal fissure is a tear in the lining of the anus, which can cause pain and bleeding during bowel movements.","['Pain during bowel movements', 'Bleeding from the anus', 'Itching or burning around the anus']","['Stool softeners', 'Topical analgesics', 'Surgery in severe cases']"
243,bursitis,"Bursitis is an inflammation of the bursae, which are small sacs of fluid that cushion the joints and reduce friction between bones and soft tissues.","['Joint pain', 'Swelling and redness', 'Stiffness and limited range of motion']","['Rest and ice', 'Anti-inflammatory medication', 'Physical therapy']"
244,cholecystitis,"Cholecystitis is an inflammation of the gallbladder, which is a small organ located near the liver that stores bile.","['Abdominal pain', 'Nausea and vomiting', 'Fever and chills']","['Antibiotics', 'Pain medication', 'Surgery to remove the gallbladder in severe cases']"
