Disease,Description,Symptoms,Treatments
neonatal tetanus,Neonatal tetanus is a type of tetanus that affects newborn babies. It is caused by exposure to the bacteria that produce tetanus toxin.,"stiffness and spasms in the muscles, irritability, difficulty feeding, difficulty breathing, fever, sweating, high blood pressure, rapid heart rate","antibiotics, tetanus immunoglobulin, supportive care"
non-hodgkin's lymphoma,"Non-Hodgkin's lymphoma is a type of cancer that affects the lymphatic system, which is a part of the body's immune system. The cancerous cells can accumulate in the lymph nodes, bone marrow, and other organs, leading to a variety of symptoms and complications.","swollen lymph nodes, fatigue, night sweats, fever, unexplained weight loss, chest pain or pressure","chemotherapy, radiation therapy, immunotherapy, stem cell transplant, targeted therapy"
nonalcoholic fatty liver disease (nafld),"Nonalcoholic fatty liver disease is a condition in which excess fat is stored in the liver. It is not caused by alcohol abuse, and can range from simple fat accumulation to inflammation and cirrhosis.","fatigue, pain or discomfort in the upper right abdomen, swelling in the abdomen, elevated liver enzymes, insulin resistance and high blood sugar","lifestyle changes such as weight loss, exercise, and a healthy diet, control of underlying conditions such as diabetes and high cholesterol, medications such as vitamin e, pioglitazone, and ursodeoxycholic acid"
norovirus infection,Norovirus infection is a type of viral infection that affects the stomach and intestines. It is highly contagious and can spread easily in crowded places.,"nausea, vomiting, diarrhea, stomach cramps, fever, headache, body aches","rest and fluids, anti-nausea medication, rehydration therapy"
obesity,Obesity is a medical condition in which excess body fat has accumulated to the extent that it may have an adverse effect on health. It is a chronic disease that can lead to many other health problems.,"increased body weight, difficulty moving, shortness of breath, fatigue, joint pain, sleep apnea, high blood pressure, type 2 diabetes, heart disease, stroke","dietary changes, increased physical activity, behavioral therapy, weight-loss medications, bariatric surgery"
obsessive-compulsive disorder (ocd),"Obsessive-compulsive disorder (OCD) is a mental disorder in which a person has uncontrollable, recurring thoughts (obsessions) and/or behaviors (compulsions) that he or she feels the urge to repeat over and over.","obsessions, compulsions, fear of contamination, aggressive impulses, symmetry and orderliness, excessive doubt, hoarding, trichotillomania, skin picking","cognitive-behavioral therapy (cbt), exposure and response prevention (erp), medication (ssris)"
onchocerciasis,"Onchocerciasis, also known as river blindness, is a parasitic disease caused by the worm Onchocerca volvulus. It is transmitted to humans through the bites of blackflies.","skin rash, itching, eye lesions, visual impairment","ivermectin, doxycycline, surgery (for advanced cases)"
ophthalmia neonatorum,"Ophthalmia neonatorum is a form of conjunctivitis that occurs in newborn babies. It is usually caused by an infection acquired during delivery from the mother, who may have a sexually transmitted infection.","eye redness, swelling of the eyelids, discharge from the eyes","antibiotic eye drops or ointment, preventive measures (e.g. screening and treating pregnant women for stis)"
osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."," joint pain,  neck pain,  knee pain,  hip joint pain,  swelling joints,  painful walking","acetaminophen, consult nearest hospital, follow up, salt baths"
osteoarthritis,"Osteoarthritis (OA) is a degenerative joint disease that occurs when the protective cartilage on the ends of bones wears down over time, causing pain, stiffness, and loss of mobility.","pain or stiffness in the joints, especially after periods of inactivity or overuse, swelling or tenderness in the affected joints, a crunching or popping sensation when moving the joint, limited range of motion, bone spurs","over-the-counter pain relievers such as acetaminophen or nonsteroidal anti-inflammatory drugs (nsaids), prescription medications such as cox-2 inhibitors or corticosteroids, physical therapy or occupational therapy, assistive devices such as braces or canes, lifestyle changes such as losing weight, getting regular exercise, and avoiding activities that exacerbate symptoms"
osteomyelitis,Osteomyelitis is a bone infection that can occur in any bone in the body. It is usually caused by bacteria that enter the bone through a wound or during surgery.,"pain and tenderness in the affected area, swelling, fever, fatigue","antibiotics (oral or intravenous), surgery (for severe cases or to remove dead tissue)"
osteoporosis,"Osteoporosis is a bone disease that occurs when the body loses too much bone, makes too little bone, or both. As a result, bones become weak and may break from a fall or, in serious cases, from sneezing or minor bumps.","back pain, loss of height over time, a stooped posture, a bone that breaks much more easily than expected","calcium and vitamin d supplements, medications such as bisphosphonates, hormone therapy, and denosumab, regular weight-bearing and muscle-strengthening exercise, fall prevention measures, such as removing hazards and improving lighting in the home"
otitis media,"Otitis media is an infection or inflammation of the middle ear, which is the space behind the eardrum that contains the small bones that vibrate in response to sound.","ear pain, fever, drainage from the ear, difficulty hearing, irritability","watchful waiting, antibiotics, pain relievers, surgery"
ovarian cancer,Ovarian cancer is a cancer that forms in the ovaries. It is the fifth most common cancer among women.,"abdominal bloating, pelvic pain, difficulty eating or feeling full quickly, urinary symptoms, back pain, fatigue, indigestion, menstrual irregularities","surgery, chemotherapy, targeted therapy"
paget's disease of bone,"Paget's disease of bone is a chronic disorder that typically results in enlarged and deformed bones. It can affect any bone in the body, but most commonly affects the pelvis, spine, skull, and legs.","bone pain, joint pain, headaches, hearing loss, numbness or tingling, enlarged bones, bone deformities","bisphosphonate medications, calcitonin, surgery"
pancreatic cancer,Pancreatic cancer is a type of cancer that begins in the cells of the pancreas. It can spread quickly and is often difficult to detect early. Pancreatic cancer is the fourth leading cause of cancer death in the United States.,"abdominal pain, loss of appetite, weight loss, jaundice, nausea, vomiting, new-onset diabetes, fatigue, depression","surgery, radiation therapy, chemotherapy, targeted therapy"
paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."," vomiting,  headache,  weakness of one body side,  altered sensorium","massage, eat healthy, exercise, consult doctor"
paratyphoid fever,Paratyphoid fever is a bacterial infection caused by Salmonella Paratyphi bacteria. It is usually contracted by consuming contaminated food or water.,"fever, abdominal pain, diarrhea, nausea and vomiting","antibiotics, fluid and electrolyte replacement, rest and adequate nutrition"
parkinson's disease,"Parkinson's disease is a neurodegenerative disorder that affects movement. It occurs when the brain cells that produce dopamine, a chemical that coordinates movement, die or become impaired. As a result, people with Parkinson's disease may experience tremors, stiffness, slow movement, and difficulty with balance and coordination.","tremors or shaking, usually in the hands, arms, or legs, stiffness or rigidity of the limbs and trunk, slow movement (bradykinesia), impaired balance and coordination","medications that increase dopamine in the brain, such as levodopa, dopamine agonists, and mao-b inhibitors, deep brain stimulation (dbs), a surgical procedure that involves implanting electrodes in the brain, physical therapy to improve movement and balance, speech therapy to improve voice and communication, occupational therapy to improve daily activities"
paroymsal positional vertigo (vertigo),Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.," vomiting,  headache,  nausea,  spinning movements,  loss of balance,  unsteadiness","lie down, avoid sudden change in body, avoid abrupt head movment, relax"
peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."," vomiting,  loss of appetite,  abdominal pain,  passage of gases,  internal itching","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol"
peptic ulcer disease,"Peptic ulcer disease is a condition in which painful sores or ulcers develop in the lining of the stomach, small intestine, or esophagus.","abdominal pain or discomfort, nausea, vomiting, loss of appetite, bloating, belching, weight loss","antibiotics to kill h. pylori bacteria, proton pump inhibitors to reduce stomach acid, antacids to neutralize stomach acid, h2 blockers to reduce acid production, lifestyle changes (e.g., avoiding alcohol and spicy foods)"
peripheral arterial disease,Peripheral arterial disease (PAD) is a condition where there is a narrowing of the arteries that supply blood to the legs and feet.,"leg pain, numbness or weakness in legs, coldness in lower leg or foot, ""sores on toes, feet or legs that wont heal"", change in color of legs","smoking cessation, exercise and physical therapy, medications to manage symptoms and prevent blood clots, angioplasty or stenting to open up blocked arteries, surgery to bypass blocked arteries"
peripheral artery disease (pad),Peripheral artery disease (PAD) is a common circulatory problem in which narrowed arteries reduce blood flow to your limbs.,"painful cramping in hip, thigh or calf muscles after certain activities, such as walking or climbing stairs, leg numbness or weakness, coldness in your lower leg or foot, especially when compared with the other side, ""sores on your toes, feet or legs that wont heal"", a change in the color of your legs, hair loss or slower hair growth on your feet and legs, slower growth of toenails, shiny skin on your legs, no pulse or a weak pulse in your legs or feet, erectile dysfunction, especially in men with diabetes","lifestyle changes such as regular exercise, smoking cessation, and healthy diet, medications like blood thinners, cholesterol-lowering drugs, and medications to control blood pressure, angioplasty and stenting, bypass surgery, amputation of the affected limb, in severe cases"
peripheral neuropathy,Peripheral neuropathy is a condition that occurs when the nerves that carry information to and from the brain and spinal cord to the rest of the body are damaged or diseased.,"tingling, burning or prickling sensations in the affected area, sharp, stabbing or shooting pain, extreme sensitivity to touch, lack of coordination and falling, muscle weakness or paralysis if motor nerves are affected, partial or complete loss of sensation if sensory nerves are affected, bowel or bladder dysfunction if autonomic nerves are affected, changes in blood pressure and sweating","treatment of the underlying condition that caused the neuropathy, medications to relieve pain, such as over-the-counter painkillers, anti-seizure drugs, and antidepressants, topical treatments like capsaicin cream or lidocaine patches, physical therapy to help maintain strength and balance, occupational therapy to help with everyday activities, surgery, in severe cases"
pertussis,"Pertussis, also known as whooping cough, is a highly contagious respiratory infection caused by the bacterium Bordetella pertussis. It can affect people of all ages, but is most dangerous for infants.","cough (often severe and persistent), whooping sound during coughing fits, vomiting, fatigue","antibiotics (to prevent the spread of the infection), supportive care (e.g. fluids, rest, and nutrition), vaccination (to prevent infection)"
peyronie's disease,"Peyronie's disease is a condition in which fibrous scar tissue develops inside the penis, causing curved, painful erections.","bent penis during an erection, erectile dysfunction, pain during an erection, shortening of the penis","medications like collagenase clostridium histolyticum to break down the scar tissue, injections of verapamil or interferon to reduce the size of the plaque, surgery, such as plication or grafting, to straighten the penis, penile implants, in severe cases"
pneumococcal disease,"Pneumococcal disease is an infection caused by Streptococcus pneumoniae bacteria. It can lead to pneumonia, meningitis, and other infections.","fever, cough, chest pain, shortness of breath, stiff neck, headache","antibiotics, vaccination"
pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","cough (with phlegm or without), fever, chills, shortness of breath, rapid breathing, chest pain, fatigue, muscle aches, nausea or vomiting","antibiotics to fight the underlying infection, fever reducers (e.g., acetaminophen) to relieve symptoms, cough medicine to reduce coughing, oxygen therapy to help with breathing, fluids and rest"
poliomyelitis,"Poliomyelitis, also known as polio, is a highly contagious viral infection that can lead to paralysis, breathing problems, and even death.","fever, headache, nausea, vomiting, stiffness in the neck, muscle weakness or paralysis","supportive care, vaccination"
polycystic kidney disease,"Polycystic kidney disease is an inherited disorder in which clusters of cysts develop within the kidneys, eventually causing kidney failure.","pain in the back or side, blood in urine, frequent urination, kidney stones, high blood pressure, abdominal swelling, fatigue, joint pain","blood pressure medications to control high blood pressure, antibiotics to treat infections, surgery to remove large cysts or to transplant a new kidney, dialysis to remove waste from the blood if kidneys fail"
polycystic ovary syndrome,"Polycystic ovary syndrome is a hormonal disorder that causes enlarged ovaries with small cysts on the outer edges, leading to infertility and other health problems.","irregular periods, heavy bleeding, acne, excess hair growth, weight gain, fatigue, depression or mood swings","birth control pills to regulate periods and decrease androgen levels, anti-androgen medications to reduce excess hair growth and acne, metformin to improve insulin resistance and regulate menstrual cycles, fertility treatments (e.g., in vitro fertilization) for those trying to conceive"
post-traumatic stress disorder (ptsd),"Post-traumatic stress disorder (PTSD) is a mental health condition triggered by a traumatic event such as combat, natural disasters, sexual assault or serious accidents. People with PTSD often experience flashbacks, nightmares, anxiety, and a feeling of detachment from the world.","flashbacks or reliving the traumatic event, nightmares and sleep disturbances, avoiding reminders of the traumatic event, feeling numb or detached from the world, hyperarousal or being easily startled, negative changes in thinking or mood","cognitive-behavioral therapy (cbt), eye movement desensitization and reprocessing (emdr), medications such as antidepressants or anti-anxiety drugs"
primary biliary cirrhosis,"Primary biliary cirrhosis (PBC) is a chronic liver disease in which the small bile ducts in the liver are gradually destroyed, leading to a buildup of bile and damage to liver cells. The cause of PBC is unknown, but it is thought to be an autoimmune disorder.","fatigue, itching, dry eyes and mouth, enlarged liver or spleen, jaundice, osteoporosis","ursodeoxycholic acid (udca) to slow the progression of the disease, vitamin and mineral supplements, medications to relieve itching or other symptoms, liver transplant in severe cases"
primary sclerosing cholangitis,"Primary sclerosing cholangitis is a chronic liver disease characterized by inflammation and scarring of the bile ducts. Over time, this can lead to liver damage and cirrhosis.","abdominal pain, fatigue, itching, jaundice, weight loss","ursodeoxycholic acid, endoscopic therapy, liver transplantation"
prostate cancer,"Prostate cancer is a type of cancer that develops in the prostate, a gland in the male reproductive system. It usually grows slowly and initially remains confined to the prostate gland, where it may not cause serious harm. However, in some cases, it can spread to other parts of the body and become more aggressive.","frequent urination, especially at night, difficulty starting or stopping urination, weak or interrupted urine flow, blood in urine or semen, painful or burning urination, painful ejaculation, difficulty getting or maintaining an erection","watchful waiting, surgery, radiation therapy, cryotherapy, hormone therapy, chemotherapy"
psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","red patches of skin covered with thick, silvery scales, dry, cracked skin that may bleed, itching or burning sensations","topical creams and ointments, light therapy, oral medications"
pulmonary embolism,"Pulmonary embolism is a blockage in one of the pulmonary arteries in the lungs. The blockage is usually caused by a blood clot that travels to the lungs from another part of the body, most commonly the legs.","sudden shortness of breath, chest pain that gets worse with deep breathing or coughing, coughing up blood","blood thinners, clot-dissolving medications, surgery"
pulmonary fibrosis,"Pulmonary fibrosis (PF) is a condition where there is scarring or thickening of the tissue in the lungs, making it difficult for oxygen to pass through.","shortness of breath, dry cough, fatigue, unexplained weight loss, muscle and joint pain","medications to reduce inflammation, oxygen therapy to increase oxygen levels, pulmonary rehabilitation to improve lung function, lung transplant in severe cases"
q fever,"Q fever is a bacterial infection caused by Coxiella burnetii. It can cause fever, headaches, muscle aches, and pneumonia.","fever, headache, muscle aches, chills, sweats, cough, chest pain","antibiotics, supportive care"
rabies,"Rabies is a deadly viral infection that is transmitted to humans through the bite of an infected animal, such as a dog or bat.","fever, headache, muscle weakness, seizures, excessive salivation, paralysis","post-exposure prophylaxis, vaccination"
raynaud's disease,"Raynaud's disease is a condition that affects the blood vessels in the fingers and toes, causing them to narrow and reduce blood flow. This can lead to numbness, tingling, and color changes in the affected areas.","numbness, tingling, color changes in fingers and toes, cold fingers and toes","avoiding triggers such as cold temperatures and stress, medications to improve blood flow, biofeedback"
rectal cancer,"Rectal cancer is a type of cancer that occurs in the cells of the rectum, which is the last section of the large intestine.","bleeding from the rectum, changes in bowel habits, abdominal pain or discomfort, weakness and fatigue, unintended weight loss","surgery, radiation therapy, chemotherapy, targeted therapy"
renal failure,Renal failure is a condition where the kidneys are no longer able to filter waste products from the blood.,"swelling in hands, feet, and ankles, fatigue, nausea, decreased appetite, shortness of breath","dialysis to filter blood, kidney transplant, medications to control underlying causes, dietary changes to manage electrolyte and fluid levels"
respiratory syncytial virus infection,"Respiratory syncytial virus (RSV) infection is a common respiratory infection that can cause serious illness, particularly in young children and older adults.","runny or stuffy nose, cough, fever, wheezing, difficulty breathing","supportive care, antiviral medication"
restless legs syndrome (rls),"Restless legs syndrome is a condition that causes an uncontrollable urge to move the legs, often accompanied by uncomfortable sensations in the legs such as tingling, itching, or crawling.","uncontrollable urge to move legs, tingling or crawling sensations in legs, difficulty sleeping","medications such as dopamine agonists and opioids, lifestyle changes such as regular exercise and good sleep habits"
rheumatic fever,"Rheumatic fever is a complication of untreated strep throat. It can cause inflammation of the heart, joints, and other organs.","fever, joint pain and swelling, chest pain, shortness of breath","antibiotics, anti-inflammatory medication, bed rest"
rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disorder that causes the body's immune system to attack the joints. This leads to inflammation and damage to the joints, which can cause pain, stiffness, and swelling.","joint pain and stiffness, swelling and tenderness in the joints, fatigue","nonsteroidal anti-inflammatory drugs (nsaids), disease-modifying antirheumatic drugs (dmards), biologic agents"
rift valley fever,Rift Valley fever is a viral disease that affects both humans and animals. It is most commonly found in sub-Saharan Africa.,"fever, headache, muscle pain, fatigue","symptomatic treatment, fluid and electrolyte replacement, supportive care"
rocky mountain spotted fever,Rocky Mountain spotted fever is a bacterial infection that is spread by ticks. It is most commonly found in North and South America.,"fever, headache, muscle pain, rash","antibiotics, symptomatic treatment, supportive care"
rosacea,"Rosacea is a chronic skin condition that causes redness, flushing, and sometimes small, red, pus-filled bumps on the face. It most commonly affects the nose, cheeks, forehead, and chin.","redness on the cheeks, nose, chin or forehead, small visible blood vessels on the face, bumps or pimples on the face","topical creams and gels, oral antibiotics, laser therapy"
rotavirus infection,Rotavirus infection is a common cause of diarrhea in infants and young children. It can lead to dehydration and other complications.,"diarrhea, vomiting, fever, abdominal pain","rehydration therapy, symptomatic treatment, prevention through vaccination"
rubella,"Rubella, also known as German measles, is a viral infection that can cause rash, fever, and swollen lymph nodes.","rash, fever, headache, swollen lymph nodes","symptomatic treatment, prevention through vaccination"
salmonellosis,"Salmonellosis is a bacterial infection that can cause diarrhea, fever, and abdominal cramps. Most people recover without treatment, but in some cases, it can lead to more severe illness.","nausea, vomiting, abdominal cramps, fever, diarrhea, headache","drinking fluids to prevent dehydration, antibiotics (in severe cases)"
sarcoidosis,"Sarcoidosis is a disease that causes inflammation in different parts of the body, most commonly the lungs, lymph nodes, skin, and eyes. The inflammation can cause damage to these organs and may cause symptoms such as coughing, shortness of breath, and skin rashes.","shortness of breath, coughing, skin rashes or lesions","corticosteroids, immunosuppressive medications, biologic agents"
sars (severe acute respiratory syndrome),"SARS is a serious respiratory illness caused by the SARS coronavirus. It first appeared in Asia in 2003 and spread to several other countries. SARS can cause severe breathing problems, fever, and other symptoms.","fever, chills, dry cough, shortness of breath, muscle aches, headache, sore throat, malaise","antiviral medications (in some cases), corticosteroids (to reduce inflammation), oxygen therapy"
scabies,Scabies is a contagious skin condition caused by tiny mites that burrow into the skin. It causes intense itching and a rash.,"intense itching (especially at night), rash (usually on the hands, feet, or genitals), small, raised bumps on the skin","prescription medications to kill the mites, topical creams or lotions"
scarlet fever,"Scarlet fever is a bacterial infection that can cause a bright red rash, fever, sore throat, and other symptoms. It is most common in children between the ages of 5 and 15.","fever, sore throat, bright red rash (usually on the chest, stomach, and limbs), reddening of the tongue (known as ""strawberry tongue""), headache, nausea, vomiting","antibiotics, over-the-counter pain relievers (to reduce fever and discomfort)"
sciatica,"Sciatica is a type of pain that affects the sciatic nerve, which runs from the lower back down to the legs and feet.","pain in the lower back, buttocks, and legs, numbness or tingling in the legs or feet, weakness in the legs, difficulty walking","physical therapy, pain medication, steroid injections, surgery"
scleroderma,"Scleroderma is a group of rare autoimmune diseases that cause the skin and connective tissues to harden and thicken. In some cases, scleroderma can also affect the internal organs such as the lungs, heart, and kidneys.","thickening and hardening of skin, digestive problems, joint pain and stiffness, shortness of breath","immunosuppressive medications, medications to treat specific symptoms, physical therapy"
scoliosis,"Scoliosis is a medical condition where the spine curves sideways. This can cause uneven shoulders, hips, or waist and can sometimes lead to discomfort or difficulty breathing.","uneven shoulders, uneven hips, uneven waist, back pain, difficulty breathing","bracing, physical therapy, surgery"
shigellosis,"Shigellosis is an infection caused by the Shigella bacteria. It can cause diarrhea, fever, and stomach cramps. In severe cases, it can lead to dehydration and other complications.","diarrhea (which may be bloody), fever, stomach cramps, nausea, vomiting","drinking fluids to prevent dehydration, antibiotics (in severe cases)"
sickle cell disease,"Sickle cell disease is a genetic blood disorder that causes red blood cells to become misshapen and break down more easily than normal, leading to anemia and other complications.","anemia, episodes of pain, jaundice, swelling of hands and feet","pain medications, hydroxyurea to reduce the frequency of painful episodes, blood transfusions"
sinusitis,"Sinusitis is an inflammation or swelling of the tissue lining the sinuses, which can cause symptoms such as facial pain, pressure, or congestion.","facial pain, pressure in the face, congestion, nasal discharge, cough, headache","nasal decongestants, saline nasal irrigation, antibiotics, steroid nasal sprays"
skin cancer,Skin cancer is a type of cancer that occurs in the cells of the skin.,"changes in the appearance of moles or other skin lesions, a new growth on the skin, ""a sore that doesnt heal"", pain, itching, or bleeding on the skin","surgery, radiation therapy, chemotherapy, immunotherapy"
sleep apnea,Sleep apnea is a sleep disorder characterized by pauses in breathing or shallow breaths during sleep. The condition can lead to poor sleep quality and excessive daytime sleepiness.,"loud snoring, episodes of breathing cessation during sleep witnessed by another person, gasping or choking during sleep, excessive daytime sleepiness, difficulty concentrating, morning headaches, irritability","continuous positive airway pressure (cpap) therapy, oral appliances, surgery, lifestyle changes (e.g. weight loss, quitting smoking, avoiding alcohol and sedatives)"
smallpox,Smallpox is a contagious disease caused by the variola virus. It is characterized by a fever and a distinctive rash.,"fever, fatigue, headache, backache, rash","vaccination, antiviral drugs, symptomatic relief"
spinal stenosis,"Spinal stenosis is a narrowing of the spaces within the spine, which can put pressure on the nerves that travel through the spine.","pain or numbness in the legs or arms, weakness in the legs or arms, difficulty walking or maintaining balance, loss of bowel or bladder control","physical therapy, pain medication, steroid injections, surgery"
spondylitis,"Spondylitis is a type of arthritis that affects the spine and can cause stiffness, pain, and reduced mobility.","stiffness in the back or neck, pain in the back or neck, reduced mobility, fatigue, loss of appetite","exercise, medications, surgery"
staphylococcal scalded skin syndrome,Staphylococcal scalded skin syndrome is a rare skin condition caused by the bacteria Staphylococcus aureus. It is characterized by redness and blistering of the skin.,"fever, redness of the skin, blisters on the skin, skin peeling","antibiotics, pain relief medication, intravenous fluids"
stomach cancer,Stomach cancer is a type of cancer that occurs in the cells of the stomach.,"abdominal pain or discomfort, nausea or vomiting, loss of appetite, unintended weight loss, feeling full after eating small amounts of food","surgery, radiation therapy, chemotherapy, targeted therapy"
strep throat,"Strep throat is a bacterial infection that affects the throat and tonsils. It is characterized by a sore throat, fever, and swollen lymph nodes.","sore throat, fever, swollen lymph nodes, difficulty swallowing","antibiotics, pain relief medication, rest and fluids"
stroke,"A stroke occurs when blood flow to the brain is interrupted or reduced, which can cause brain cells to die. This can result in various symptoms, depending on which part of the brain is affected.","sudden numbness or weakness in the face, arm, or leg, especially on one side of the body, sudden confusion or trouble speaking or understanding speech, sudden trouble seeing in one or both eyes, sudden trouble walking, dizziness, loss of balance or coordination, sudden severe headache with no known cause","clot-busting drugs, aspirin or other antiplatelet drugs, anticoagulants, surgery"
syphilis,Syphilis is a sexually transmitted infection caused by the bacteria Treponema pallidum. It is characterized by a sore or ulcer at the site of infection and a rash that can appear on the palms of the hands and soles of the feet.,"painless sore or ulcer, rash on the palms of the hands and soles of the feet, fever, fatigue","antibiotics, penicillin injections, regular testing"
systemic lupus erythematosus,"Systemic lupus erythematosus (SLE) is an autoimmune disease that can affect various parts of the body, including the skin, joints, kidneys, brain, and other organs.","fatigue, fever, joint pain, skin rashes, chest pain, shortness of breath, headaches, confusion, memory loss","nonsteroidal anti-inflammatory drugs (nsaids), antimalarial drugs, corticosteroids, immunosuppressants, biologics"
tendinitis,Tendinitis is a condition in which the tendons — the thick cords that attach muscles to bone — become inflamed or irritated.,"pain, tenderness, stiffness, swelling, weakness","rest, ice, compression, elevation, physical therapy, medications, surgery"
testicular cancer,"Testicular cancer occurs when abnormal cells in the testicles grow and divide uncontrollably, forming a mass or tumor.","a painless lump or swelling in the testicle, a feeling of heaviness in the scrotum, a dull ache in the abdomen or groin","surgery to remove the affected testicle (orchiectomy), radiation therapy, chemotherapy"
tetanus,"Tetanus is a bacterial infection that affects the nervous system. It is characterized by muscle stiffness and spasms, particularly in the jaw muscles.","muscle stiffness and spasms, jaw cramping, fever, sweating","antitoxin medication, muscle relaxants, pain relief medication"
thyroid cancer,"Thyroid cancer is a type of cancer that starts in the cells of the thyroid gland, which is located in the front of the neck.","a lump or swelling in the neck, pain in the neck or throat, difficulty swallowing or breathing","surgery to remove all or part of the thyroid gland, radiation therapy, chemotherapy"
thyroid disease,Thyroid disease is a common problem that can cause symptoms due to over- or under-function of the thyroid gland.,"fatigue, weight changes, muscle weakness, hair loss, depression, difficulty sleeping, rapid heartbeat","thyroid hormone replacement therapy, anti-thyroid medications, radioactive iodine, surgery"
tinnitus,"Tinnitus is a condition where a person hears a ringing, buzzing, or other noise in one or both ears that is not caused by an external sound.","ringing, buzzing, or other noise in the ears, difficulty sleeping or concentrating, anxiety or depression","identifying and treating underlying causes (e.g., earwax buildup, high blood pressure), using a white noise machine or other sound therapy, counseling or therapy to help manage anxiety or depression"
toxoplasmosis,"Toxoplasmosis is a parasitic infection caused by the Toxoplasma gondii parasite. It is usually transmitted through contact with contaminated cat feces, eating undercooked meat, or vertical transmission from mother to fetus during pregnancy.","flu-like symptoms (such as fever, fatigue, body aches), swollen lymph nodes, muscle aches and pains, headache, sore throat, skin rash, inflammation of the lungs, heart, or eyes (in severe cases)","antibiotics (such as sulfadiazine, pyrimethamine, and clindamycin), corticosteroids (to reduce inflammation in severe cases), symptomatic treatment (such as pain relievers, fever reducers, and rest)"
trachoma,"Trachoma is a bacterial infection of the eyes caused by the Chlamydia trachomatis bacterium. It is usually transmitted through contact with contaminated hands, clothing, or flies.","irritation and redness of the eyes, swelling of the eyelids, discharge from the eyes, sensitivity to light, blurred vision, formation of small bumps on the inner surface of the eyelids (in severe cases)","antibiotics (such as azithromycin and tetracycline), surgery (in severe cases), facial cleanliness and environmental improvements (to prevent transmission)"
tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","coughing (with or without blood), chest pain, fatigue, fever, night sweats, loss of appetite, weight loss, shortness of breath (in severe cases)","antibiotics (such as isoniazid, rifampin, and ethambutol), directly observed therapy (dot) to ensure compliance with medication, surgery (in severe cases), vaccination (in some cases)"
tularemia,Tularemia is a rare infectious disease caused by the bacterium Francisella tularensis.,"fever, chills, headache, muscle aches, joint pain, dry cough, progressive weakness","antibiotics, supportive care"
typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."," chills,  vomiting,  fatigue,  high fever,  nausea,  constipation,  abdominal pain,  diarrhoea,  toxic look (typhos),  belly pain","eat high calorie vegitables, antiboitic therapy, consult doctor, medication"
typhoid fever,Typhoid fever is a bacterial infection caused by Salmonella typhi.,"fever, headache, abdominal pain, loss of appetite, fatigue, diarrhea or constipation, rash","antibiotics, supportive care"
typhus,Typhus is a group of infectious diseases caused by bacteria called Rickettsia.,"fever, headache, muscle pain, nausea and vomiting, rash, cough","antibiotics, supportive care"
ulcerative colitis,Ulcerative colitis is a chronic inflammatory bowel disease (IBD) that causes inflammation and sores (ulcers) in the lining of the large intestine.,"abdominal pain, diarrhea, rectal bleeding, urgency to defecate, weight loss, fatigue","anti-inflammatory medications, immunosuppressive medications, biologic therapy, surgery"
urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."," burning micturition,  bladder discomfort,  foul smell of urine,  continuous feel of urine","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics"
urinary tract infection (uti),"Urinary tract infection (UTI) is an infection in any part of the urinary system, including the kidneys, bladder, and urethra.","burning sensation during urination, frequent urge to urinate, passing small amounts of urine, cloudy urine, strong-smelling urine, pelvic pain","antibiotics, pain relievers"
